Python terms,Expanded Terms,French Translations,French Corrections,Greek Translations,Greek Corrections,Hindi Translations,Hindi Corrections,Bengali  Translations,Bengali  Corrections
fix,fix,réparer,fixer,διορθώσετε,στρογγυλοποίησε,हल_करना,ठीक_करें,ঠিক _করুন,ঠিক _কর
random.randn,random normal distribution,distribution_normale_aléatoire,distribution_normale_aléatoire,τυχαία_κανονική_κατανομή,τυχαία_κανονική_κατανομή,यादृच्छिक_सामान्य_वितरण,यादृच्छिक_सामान्य_वितरण,এলোমেলো _সাধারণ _বিতরণ,এলোমেলো _সাধারণ _বিতরণ
delete,delete,supprimer,supprimer,διαγράφω,διαγράφω,मिटाना,मिटाएँ,মুছে _ফেলা,মুছে _ফেলা
arange,arrange,organiser,organiser,κανονίζω,εύρος,व्यवस्थित_करना,व्यवस्थित_करें,ব্যবস্থা _করা,ব্যবস্থা _করা
clip,clip,agrafe,couper,συνδετήρας,κόψε,क्लिप,क्लिप,ক্লিপ,ক্লিপ
isneginf,is negative infinity,est_infini_négatif,est_infini_négatif,είναι_αρνητικό_άπειρο,είναι_αρνητικό_άπειρο,नकारात्मक_अनंत_है,नकारात्मक_अनंत_है,নেতিবাচক _অনন্ত,নেতিবাচক _অনন্ত?
trunc,truncate,tronquer,tronquer,κολοβός,περικοπή,काट-छांट,काट-छांट,কাটা,কাটা
fv,future value,valeur_future,valeur_future,μελλοντική_αξία,μελλοντική_αξία,भविष्य_मूल्य,भविष्य_मूल्य,ভবিষ্যত _মান,ভবিষ্যত _মান
rint,round towards nearest integer,Round_vers_entier_plus_proche,arrondir_vers_entier_plus_proche,στρογγυλό_προς_πλησιέστερο_ακέραιο,στρογγυλοποίηση_προς_πλησιέστερο_ακέραιο,निकटतम_पूर्णांक_की_ओर,निकटतम_पूर्णांक_की_ओर,নিকটতম _পূর্ণসংখ্যার _দিকে _গোল,নিকটতম _পূর্ণসংখ্যার _দিকে _রাউন্ড
zeros,zeroes array,tableau_de_zéros,tableau_de_zéros,σειρά_μηδενικών,πίνακας_μηδενικών,ज़ीरोस_का_सरणी,शून्य_सरणी,জিরোসের _অ্যারে,শূন্যের _অ্যারে
empty,empty array,tableau_vide,vide,άδειος_πίνακας,άδειος_πίνακας,खाली_सरणी,खाली_सरणी,খালি _অ্যারে,খালি _অ্যারে
take,take elements from an array,prendre_éléments_d'_tableau,prendre_éléments_de_tableau,Πάρτε_στοιχεία_από_πίνακα,πάρε_στοιχεία_από_πίνακα,एक_सरणी_से_तत्वों_को_लें,एक_सरणी_से_तत्वों_को_लें,একটি _অ্যারে _থেকে _উপাদান _নিন,অ্যারে _থেকে _উপাদান _নাও
amin,array minimum,tableau_minimum,tableau_minimum,ελάχιστο_διάταγμα,ελάχιστο_πίνακα,न्यूनतम_सरणी,न्यूनतम_सरणी,সর্বনিম্ন _অ্যারে,সর্বনিম্ন _অ্যারে
float_power,float power,puissance_flottante,puissance_flottante,πλωτή_δύναμη,ρητή_δύναμη,तैरने_की_शक्ति,फ्लोट_पावर,ভাসমান _শক্তি,ভাসমান _পাওয়ার
tri,triangle shape,forme_de_triangle,forme_de_triangle,σχήμα_τρίγωνου,σχήμα_τρίγωνου,त्रिभुज_आकार,त्रिभुज_आकार,ত্রিভুজ _আকার,ত্রিভুজ _আকার
put,put values into array,mettre_valeurs_dans_tableau,mettre_valeurs_dans_tableau,Τοποθετήστε_τιμές_σε_πίνακα,τοποθέτησε_τιμές_σε_πίνακα,मूल्यों_को_सरणी_में_डालें,मूल्यों_को_सरणी_में_डालें,অ্যারেতে _মান _রাখুন,অ্যারেতে _মান _রাখ
logical_not,logical not operation,Logique_non_opération,opération_NON_logique,λογική_μη_λειτουργία,λογικό όχι,तार्किक_नहीं_ऑपरेशन,तार्किक_नहीं_ऑपरेशन,যৌক্তিক _নয় _অপারেশন,যৌক্তিক _না _অপারেশন
exp,exponential,exponential,exponentiel,εκθετικός,εκθετικός,घातीय,घातीय,ক্ষতিকারক,সূচকীয়
not_equal,not equal,inégal,inégal,όχι_ίσος,όχι_ίσος,सम_नही,सम_नही,সমান _না,সমান _না
compress,compression,compression,compresser,συμπίεση,συμπίεση,COMPRESSION,संकोचन,সঙ্কোচন,সঙ্কোচন
less_equal,less than or equal,moins_ou_égal,inférieur_ou_égal,λιγότερο_από_ή_ίσο,λιγότερο_από_ή_ίσο,इससे_या_इसके_बराबर,इससे_या_इसके_बराबर,কম _বা _সমান,কম _বা _সমান
floor_divide,floor division,division_de_étages,division_planché,διαίρεση_δαπέδου,ακέραια_διαίρεση,फ़्लोर_डिवीजन,फ़्लोर_भाग,মেঝে _বিভাগ,মেঝে _ভাগ
